epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.435,1.23229,1.1505,1.22777,0.74304,0.63801,0.68098,0.45839,1.71851,1.28027,1.38468,0.000945641,0.000945641,0.000945641
43,118.848,1.25697,0.96807,1.21745,0.99661,0.61651,0.71122,0.4465,1.74356,1.18091,1.38902,0.000933851,0.000933851,0.000933851
44,121.221,1.13567,0.87719,1.11531,0.79771,0.61567,0.62048,0.42236,1.36531,1.27275,1.26456,0.000922062,0.000922062,0.000922062
45,123.534,0.86112,0.7578,0.77939,0.79974,0.50262,0.61942,0.37787,1.29455,1.95171,1.33807,0.000910273,0.000910273,0.000910273
46,125.787,0.98347,0.79915,0.8194,0.8733,0.59809,0.67703,0.40541,1.48291,1.77792,1.35827,0.000898484,0.000898484,0.000898484
47,127.994,1.96574,1.02471,1.63618,0.82456,0.73907,0.7294,0.4447,1.6533,1.15433,1.38138,0.000886694,0.000886694,0.000886694
48,130.275,1.29769,1.39915,1.24794,0.77815,0.67922,0.7143,0.43661,1.52252,1.4815,1.35438,0.000874905,0.000874905,0.000874905
49,132.517,1.32466,0.93784,1.22956,0.79804,0.75792,0.78221,0.44065,1.705,1.45102,1.44666,0.000863116,0.000863116,0.000863116
50,134.805,0.91011,0.80072,0.77867,0.84064,0.76623,0.78382,0.44669,1.96091,1.08235,1.58735,0.000851327,0.000851327,0.000851327
51,137.069,1.06233,0.78212,1.10776,0.86044,0.66883,0.84382,0.47453,1.7338,0.94545,1.48139,0.000839537,0.000839537,0.000839537
52,139.43,1.42595,0.93189,1.20599,0.85708,0.76516,0.85606,0.49365,1.3929,0.76585,1.33672,0.000827748,0.000827748,0.000827748
53,141.758,0.90557,0.68889,0.84371,0.82355,0.72465,0.76473,0.44109,1.63528,0.94014,1.45102,0.000815959,0.000815959,0.000815959
54,144.029,0.89009,0.69493,0.79055,0.73282,0.38961,0.60178,0.32886,2.21402,1.69973,1.73831,0.00080417,0.00080417,0.00080417
55,146.338,1.26607,0.86945,1.12981,0.80253,0.62338,0.68368,0.40287,2.13571,1.13876,1.72376,0.00079238,0.00079238,0.00079238
56,148.563,1.17173,0.82056,1.24263,0.8229,0.6858,0.73201,0.4412,2.06195,1.01051,1.72433,0.000780591,0.000780591,0.000780591
57,150.87,1.03018,0.77198,1.0574,0.83467,0.57792,0.66744,0.42349,1.90736,1.19058,1.61362,0.000768802,0.000768802,0.000768802
58,153.104,1.54302,1.30266,1.22075,0.77531,0.57327,0.64515,0.38732,1.94504,1.31758,1.63326,0.000757013,0.000757013,0.000757013
59,155.37,0.83755,0.71175,0.78982,0.83795,0.66179,0.72848,0.39402,1.9925,1.14658,1.67836,0.000745223,0.000745223,0.000745223
60,157.691,1.11186,0.90105,1.08977,0.88544,0.68892,0.71827,0.40138,1.95374,1.03251,1.61533,0.000733434,0.000733434,0.000733434
61,159.942,1.67569,1.17069,1.3746,0.81682,0.68718,0.69869,0.41242,1.82792,1.05735,1.51876,0.000721645,0.000721645,0.000721645
62,162.299,1.58732,0.8897,1.45576,0.98005,0.68592,0.78133,0.43215,1.72483,0.92938,1.47981,0.000709856,0.000709856,0.000709856
63,164.591,1.21938,0.84942,1.07341,0.83376,0.5751,0.70043,0.4097,1.75053,1.01406,1.52042,0.000698066,0.000698066,0.000698066
64,166.877,1.10803,0.85453,1.15341,0.63408,0.69481,0.71593,0.42766,1.7894,1.36644,1.61874,0.000686277,0.000686277,0.000686277
65,169.131,1.17381,0.84401,1.08467,0.66424,0.65987,0.7037,0.45348,1.5192,1.23564,1.42391,0.000674488,0.000674488,0.000674488
66,171.417,1.00939,0.72023,1.09398,0.84765,0.55187,0.66651,0.45116,1.49502,1.27284,1.36078,0.000662699,0.000662699,0.000662699
67,173.708,1.34872,1.06739,1.18796,0.89482,0.63041,0.71078,0.48272,1.51997,1.18426,1.35211,0.000650909,0.000650909,0.000650909
68,175.927,1.076,0.85157,1.06788,0.79669,0.69481,0.72091,0.46605,1.59756,1.27749,1.36983,0.00063912,0.00063912,0.00063912
69,178.182,1.2891,0.83317,1.15791,0.84259,0.69438,0.69332,0.45088,1.69004,1.32079,1.40425,0.000627331,0.000627331,0.000627331
70,180.448,1.09052,0.8273,1.04857,0.87083,0.65843,0.70975,0.45502,1.74854,1.15891,1.42493,0.000615542,0.000615542,0.000615542
71,182.761,1.27538,0.85642,1.118,0.78332,0.70965,0.748,0.46871,1.845,1.09693,1.50182,0.000603752,0.000603752,0.000603752
72,185.044,1.0821,0.81224,1.02809,0.75087,0.68589,0.71401,0.45173,1.84323,1.16786,1.5394,0.000591963,0.000591963,0.000591963
73,187.254,1.39616,0.99679,1.19595,0.78997,0.73443,0.79858,0.4592,1.92583,1.27291,1.55638,0.000580174,0.000580174,0.000580174
74,189.468,1.21506,0.93334,1.13424,0.73739,0.64167,0.69387,0.41385,2.06142,1.64809,1.64657,0.000568385,0.000568385,0.000568385
75,191.755,1.01186,0.70446,0.9599,0.73517,0.64935,0.65113,0.41413,1.77958,2.34826,1.60294,0.000556595,0.000556595,0.000556595
76,194.041,1.17209,0.89769,1.12139,0.81633,0.64603,0.69691,0.43057,1.68918,1.63245,1.50009,0.000544806,0.000544806,0.000544806
77,196.31,0.79714,0.55646,0.73521,0.82913,0.68428,0.74768,0.43959,1.5358,1.11669,1.36327,0.000533017,0.000533017,0.000533017
