epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,569.144,1.28621,0.99516,1.26359,0.91534,0.84275,0.89845,0.54556,1.33965,0.89022,1.25806,0.000945641,0.000945641,0.000945641
43,582.175,1.2529,0.96083,1.26175,0.85043,0.82175,0.8653,0.4739,1.51639,1.03461,1.37395,0.000933851,0.000933851,0.000933851
44,595.2,1.22593,0.93202,1.22893,0.89512,0.83946,0.88733,0.54819,1.35615,0.93122,1.26805,0.000922062,0.000922062,0.000922062
45,608.323,1.2694,0.95636,1.27426,0.89857,0.84305,0.89613,0.56521,1.30908,0.98029,1.23499,0.000910273,0.000910273,0.000910273
46,621.39,1.24698,0.94268,1.24661,0.91754,0.84326,0.90918,0.50811,1.32549,0.96651,1.22486,0.000898484,0.000898484,0.000898484
47,634.454,1.24795,0.93295,1.2431,0.89682,0.86785,0.91459,0.52365,1.40331,0.86242,1.28847,0.000886694,0.000886694,0.000886694
48,647.443,1.2647,0.94691,1.25673,0.88628,0.85818,0.90349,0.53364,1.35316,0.88126,1.24706,0.000874905,0.000874905,0.000874905
49,660.322,1.23289,0.89685,1.21547,0.90864,0.84806,0.9041,0.52454,1.34457,0.9036,1.28758,0.000863116,0.000863116,0.000863116
50,673.259,1.2419,0.89993,1.21854,0.90739,0.88719,0.92378,0.55752,1.29602,0.83595,1.24381,0.000851327,0.000851327,0.000851327
51,686.252,1.22536,0.92036,1.21098,0.92069,0.88483,0.91758,0.58601,1.29312,0.80232,1.22615,0.000839537,0.000839537,0.000839537
52,699.287,1.21707,0.86219,1.20643,0.88654,0.85364,0.89885,0.55219,1.38604,0.87193,1.25956,0.000827748,0.000827748,0.000827748
53,712.157,1.23366,0.90786,1.21567,0.93668,0.86783,0.91437,0.54363,1.33223,0.83846,1.25181,0.000815959,0.000815959,0.000815959
54,725.159,1.22809,0.88958,1.22152,0.93157,0.86712,0.91017,0.54283,1.36391,0.84159,1.25406,0.00080417,0.00080417,0.00080417
55,738.123,1.23096,0.89277,1.2397,0.93981,0.8693,0.9203,0.53852,1.33006,0.81624,1.23745,0.00079238,0.00079238,0.00079238
56,751.208,1.19782,0.89084,1.20987,0.89127,0.85677,0.8925,0.52382,1.40045,0.86134,1.3094,0.000780591,0.000780591,0.000780591
57,764.147,1.25343,0.86036,1.24252,0.93334,0.8847,0.93181,0.57141,1.28377,0.76951,1.19575,0.000768802,0.000768802,0.000768802
58,777.305,1.21066,0.8643,1.21279,0.93079,0.88663,0.93362,0.59076,1.22847,0.78863,1.16923,0.000757013,0.000757013,0.000757013
59,790.413,1.18893,0.83414,1.19555,0.93321,0.89596,0.93125,0.58257,1.35524,0.78475,1.24395,0.000745223,0.000745223,0.000745223
60,803.327,1.1692,0.85481,1.19626,0.93921,0.8766,0.92764,0.54436,1.31709,0.7953,1.19825,0.000733434,0.000733434,0.000733434
61,816.331,1.19448,0.84738,1.19733,0.92058,0.87655,0.91792,0.52971,1.35505,0.79598,1.22825,0.000721645,0.000721645,0.000721645
62,829.375,1.1869,0.85319,1.18156,0.92984,0.87618,0.92357,0.55295,1.31984,0.77653,1.23675,0.000709856,0.000709856,0.000709856
63,842.396,1.19467,0.86067,1.20584,0.93343,0.89298,0.91753,0.5568,1.37082,0.77407,1.2471,0.000698066,0.000698066,0.000698066
64,855.498,1.20343,0.84298,1.20104,0.92855,0.89161,0.94102,0.60243,1.21707,0.6936,1.16292,0.000686277,0.000686277,0.000686277
65,868.688,1.15653,0.81547,1.18394,0.94653,0.89537,0.92959,0.59038,1.27404,0.71005,1.19358,0.000674488,0.000674488,0.000674488
66,881.582,1.14728,0.81841,1.18732,0.94669,0.89186,0.93391,0.58964,1.28804,0.73897,1.19678,0.000662699,0.000662699,0.000662699
67,894.449,1.17487,0.81653,1.18888,0.92628,0.89086,0.92185,0.57958,1.36556,0.7577,1.23358,0.000650909,0.000650909,0.000650909
68,907.446,1.15093,0.81058,1.17285,0.93235,0.89369,0.93404,0.59671,1.24988,0.73941,1.17692,0.00063912,0.00063912,0.00063912
69,920.363,1.15249,0.79308,1.17247,0.93511,0.89648,0.93843,0.6025,1.21486,0.75075,1.14308,0.000627331,0.000627331,0.000627331
70,933.341,1.17747,0.84642,1.22196,0.941,0.89321,0.92916,0.56839,1.26813,0.78372,1.16563,0.000615542,0.000615542,0.000615542
